transcription,threshold,method,precision,recall,fscore
Phonemic,0.4,edit,0.7792,0.4238,0.549
Phonemic,0.6,edit,0.6259,0.4247,0.506
Phonemic,0.4,turchin,0.5152,0.4271,0.467
Phonemic,0.6,turchin,0.5152,0.4271,0.467
Phonetic,0.4,edit,0.8434,0.3194,0.4634
Phonemic,0.4,sca,0.4821,0.4273,0.453
Phonemic,0.6,edit,0.6944,0.3204,0.4385
Romanised,0.4,edit,0.693,0.2948,0.4136
Phonetic,0.4,turchin,0.4524,0.3213,0.3758
Phonetic,0.6,turchin,0.4524,0.3213,0.3758
Phonetic,0.6,turchin,0.4524,0.3213,0.3758
Romanised,0.6,edit,0.5079,0.2958,0.3739
Phonetic,0.4,sca,0.4418,0.3221,0.3726
Romanised,0.4,sca,0.4491,0.2962,0.357
phoneMic,0.6,sca,0.3011,0.4294,0.3539
Romanised,0.4,turchin,0.429,0.2963,0.3505
Romanised,0.6,turchin,0.429,0.2963,0.3505
Phonetic,0.6,sca,0.2262,0.3244,0.2666
Romanised,0.6,sca,0.2227,0.2983,0.255
